City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
822,Epe,NG,78.37,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
828,Gamba,GA,75.36,overcast clouds,-2.65,10.0,
830,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
831,Wattegama,LK,88.72,overcast clouds,6.7989,81.4808,
834,Ndjole,GA,75.09,light rain,-0.1783,10.7649,Hotel Kevazingo
835,Itarema,BR,75.54,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
842,Hithadhoo,MV,83.55,broken clouds,-0.6,73.0833,Scoop Guest House
849,Aloleng,PH,87.17,light rain,16.1307,119.7824,Agno Umbrella Rocks
851,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
854,Kavaratti,IN,83.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
856,Zhangjiakou,CN,77.27,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
857,Hami,CN,85.55,overcast clouds,42.8,93.45,Laoyutang Resort
858,San Patricio,US,78.82,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
861,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
867,Gornopravdinsk,RU,75.11,broken clouds,60.05,69.9,Burovik
869,Meulaboh,ID,76.08,overcast clouds,4.1363,96.1285,Kost Pria
882,Fare,PF,80.6,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
888,Atuona,PF,79.32,scattered clouds,-9.8,-139.0333,Villa Enata
890,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
894,Novoorsk,RU,81.25,clear sky,51.381,58.9813,Gostevoi dom >
896,Manaure,CO,79.27,overcast clouds,11.7751,-72.4445,Hotel Palaaima
897,Buraydah,SA,86.45,clear sky,26.326,43.975,فندق راحة السلام
899,Eyl,SO,82.87,broken clouds,7.9803,49.8164,Amiin Hotel
901,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
902,Sungaipenuh,ID,81.12,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
910,Iquitos,PE,77.04,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
913,La Asuncion,VE,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
915,Bubaque,GW,77.4,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
917,Coahuayana,MX,75.51,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
919,Aitape,PG,83.77,moderate rain,-3.1374,142.3475,
923,Tura,IN,84.42,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
928,Kalmunai,LK,87.91,overcast clouds,7.4167,81.8167,VS Villa
932,Mahibadhoo,MV,83.7,broken clouds,3.7833,72.9667,Omadhoo Inn
946,Sambava,MG,76.28,clear sky,-14.2667,50.1667,Melrose
949,Bambanglipuro,ID,84.54,broken clouds,-7.95,110.2833,Puri Brata
951,Pahrump,US,82.04,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
952,Port Moresby,PG,87.22,few clouds,-9.4431,147.1797,Lamana Hotel
956,Venice,US,80.01,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
957,Cabo San Lucas,MX,86.81,broken clouds,22.8909,-109.9124,Tesoro Los Cabos
958,Maumere,ID,81.75,broken clouds,-8.6199,122.2111,Sylvia Hotel
959,Sinnamary,GF,77.16,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
964,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
966,Ndioum,SN,79.45,few clouds,16.5129,-14.6471,l'hôtel samassa
967,San Policarpo,PH,86.74,moderate rain,12.1791,125.5072,JM Lodge
970,Krasnyy Yar,RU,76.93,scattered clouds,46.5331,48.3456,Cottege near Ufa
971,Cayenne,GF,77.04,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
980,Salinopolis,BR,78.12,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
981,Ugoofaaru,MV,83.53,scattered clouds,5.6667,73.0,Ungoofaaru Inn
984,Ozu,JP,77.18,broken clouds,33.5,132.55,HOTEL FOREST
