City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
67,Faanui,PF,-16.4833,-151.75,80.53,73,55,10.85,broken clouds
68,Quilmana,PE,-12.95,-76.3833,64.63,87,87,3.13,overcast clouds
69,Alofi,NU,-19.0595,-169.9187,80.49,89,40,3.44,light rain
70,Mamlyutka,KZ,54.9375,68.5394,75.22,30,72,12.66,broken clouds
71,Tres Palos,MX,18.1833,-101.6167,75.15,90,63,3.76,broken clouds
72,East London,ZA,-33.0153,27.9116,54.54,87,0,9.22,moderate rain
73,Berlevag,NO,70.8578,29.0864,40.96,87,100,28.07,overcast clouds
74,Bluff,NZ,-46.6,168.3333,49.8,90,100,22.57,overcast clouds
75,Bontang,ID,0.1333,117.5,88.02,63,93,7.65,overcast clouds
76,Port Alfred,ZA,-33.5906,26.891,57.56,79,86,10.09,light rain
77,Torbay,CA,47.6666,-52.7314,42.58,82,75,9.22,broken clouds
78,Dundalk,US,39.2507,-76.5205,52.27,90,90,8.99,overcast clouds
79,Luderitz,NA,-26.6481,15.1594,59.0,54,54,10.71,broken clouds
80,Rio Brilhante,BR,-21.8019,-54.5464,75.88,50,96,1.66,overcast clouds
81,Lavra,PT,41.2594,-8.7185,63.21,95,75,5.75,broken clouds
82,Abu Dhabi,AE,24.4667,54.3667,87.91,79,1,10.33,clear sky
83,Marabba,SD,12.35,32.1833,89.62,37,1,16.46,clear sky
84,Betsiamites,CA,48.9413,-68.646,42.69,66,5,4.05,clear sky
85,Praya,CV,14.9215,-23.5087,72.14,78,75,16.11,broken clouds
86,Grand Baie,MU,-20.0182,57.5802,78.46,77,22,5.01,few clouds
87,Alice Springs,AU,-23.7,133.8833,65.75,27,64,9.42,broken clouds
88,Fortuna,US,40.5982,-124.1573,52.66,59,90,4.0,overcast clouds
89,Georgetown,MY,5.4112,100.3354,91.89,68,20,1.01,few clouds
90,Zuwarah,LY,32.9312,12.082,68.81,82,95,11.65,overcast clouds
91,La Rioja,ES,42.25,-2.5,54.05,94,94,1.21,overcast clouds
92,Haines Junction,CA,60.7522,-137.5108,49.95,46,100,6.91,overcast clouds
93,Saint Anthony,US,45.0205,-93.218,59.32,51,20,1.01,few clouds
94,Kodiak,US,57.79,-152.4072,44.83,98,100,2.84,overcast clouds
